time	ctime	crpm	ccrpm	cfr	ccfr	cmdl	cpx	cpy	cpz	cm	ct	csn	cbn	cls	clx	cly	clz	asprms	aaccrms	asoundrms	cut
211105 14:34:52.075	0.089	600.000000	600.000000	48.000000	8.000000	G01	64.411000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.660218	0.151318	0.008136	1	
211105 14:34:52.175	0.189	600.000000	600.000000	48.000000	8.000000	G01	63.899000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.587091	0.121009	0.008216	1	
211105 14:34:52.275	0.289	600.000000	600.000000	48.000000	8.000000	G01	63.899000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.502750	0.150811	0.007969	1	
211105 14:34:52.375	0.389	600.000000	600.000000	48.000000	8.000000	G01	63.899000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.702123	0.142883	0.007980	1	
211105 14:34:52.475	0.489	600.000000	600.000000	48.000000	8.000000	G01	63.899000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.951482	0.111043	0.008303	1	
211105 14:34:52.575	0.589	601.000000	600.000000	48.000000	8.000000	G01	63.386000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.875300	0.135672	0.008208	1	
211105 14:34:52.675	0.689	601.000000	600.000000	48.000000	8.000000	G01	63.386000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.564565	0.121833	0.008153	1	
211105 14:34:52.775	0.789	600.000000	600.000000	48.000000	8.000000	G01	62.925000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.520112	0.096747	0.007732	1	
211105 14:34:52.875	0.889	600.000000	600.000000	48.000000	8.000000	G01	62.925000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.644993	0.096233	0.007826	1	
211105 14:34:52.975	0.989	600.000000	600.000000	48.000000	8.000000	G01	62.925000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.821314	0.098245	0.007604	1	
