time	ctime	crpm	ccrpm	cfr	ccfr	cmdl	cpx	cpy	cpz	cm	ct	csn	cbn	cls	clx	cly	clz	asprms	aaccrms	asoundrms	cut
211105 14:59:16.675	0.093	600.000000	600.000000	48.000000	8.000000	G01	64.360000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.599015	0.466874	0.007508	1	
211105 14:59:16.775	0.193	600.000000	600.000000	48.000000	8.000000	G01	63.899000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.743526	0.287031	0.007540	1	
211105 14:59:16.875	0.293	600.000000	600.000000	48.000000	8.000000	G01	63.899000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.763503	0.081038	0.007363	1	
211105 14:59:16.975	0.393	600.000000	600.000000	48.000000	8.000000	G01	63.899000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.711451	0.087016	0.007562	1	
211105 14:59:17.075	0.493	600.000000	600.000000	48.000000	8.000000	G01	63.899000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.716155	0.130190	0.007630	1	
211105 14:59:17.175	0.593	600.000000	600.000000	48.000000	8.000000	G01	63.386000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.734736	0.085875	0.007721	1	
211105 14:59:17.275	0.693	600.000000	600.000000	48.000000	8.000000	G01	63.386000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.739404	0.090984	0.008027	1	
211105 14:59:17.375	0.793	600.000000	600.000000	48.000000	8.000000	G01	63.386000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.758255	0.093407	0.007698	1	
211105 14:59:17.475	0.893	601.000000	600.000000	48.000000	8.000000	G01	62.874000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.720944	0.096956	0.007501	1	
211105 14:59:17.575	0.993	601.000000	600.000000	48.000000	8.000000	G01	62.874000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.599032	0.101195	0.007873	1	
211105 14:59:17.675	1.093	601.000000	600.000000	48.000000	8.000000	G01	62.874000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.719429	0.127915	0.008073	1	
211105 14:59:17.775	1.193	600.000000	600.000000	48.000000	8.000000	G01	62.311000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.846551	0.429506	0.008167	1	
211105 14:59:17.875	1.293	600.000000	600.000000	48.000000	8.000000	G01	62.311000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.715572	0.956397	0.007923	1	
211105 14:59:17.975	1.393	600.000000	600.000000	48.000000	8.000000	G01	62.311000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.658363	1.426746	0.008139	1	
211105 14:59:18.075	1.493	600.000000	600.000000	48.000000	8.000000	G01	61.850000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.684863	1.257551	0.007959	1	
211105 14:59:18.175	1.593	600.000000	600.000000	48.000000	8.000000	G01	61.850000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.814533	0.779438	0.007933	1	
211105 14:59:18.275	1.693	600.000000	600.000000	48.000000	8.000000	G01	61.850000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.795201	0.153206	0.008203	1	
211105 14:59:18.375	1.793	600.000000	600.000000	48.000000	8.000000	G01	61.337000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.661483	0.614224	0.008145	1	
211105 14:59:18.475	1.893	600.000000	600.000000	48.000000	8.000000	G01	61.337000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.618673	0.949553	0.007777	1	
211105 14:59:18.575	1.993	600.000000	600.000000	48.000000	8.000000	G01	61.337000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.653476	1.011564	0.007860	1	
211105 14:59:18.675	2.093	600.000000	600.000000	48.000000	8.000000	G01	61.337000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.778708	0.909300	0.007861	1	
211105 14:59:18.775	2.193	600.000000	600.000000	48.000000	8.000000	G01	60.876000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.965642	0.304482	0.008037	1	
211105 14:59:18.875	2.293	600.000000	600.000000	48.000000	8.000000	G01	60.876000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.594529	0.521495	0.007781	1	
211105 14:59:18.975	2.393	600.000000	600.000000	48.000000	8.000000	G01	60.364000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	2.000000	0.000000	0.000000	0.000000	7.589541	0.516337	0.007554	1	
211105 14:59:19.075	2.493	600.000000	600.000000	48.000000	8.000000	G01	60.364000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	2.000000	0.000000	0.000000	0.000000	7.596969	0.413899	0.007707	1	
211105 14:59:19.175	2.593	600.000000	600.000000	48.000000	8.000000	G01	60.364000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	2.000000	0.000000	0.000000	0.000000	7.702409	0.342529	0.007541	1	
211105 14:59:19.275	2.693	600.000000	600.000000	48.000000	8.000000	G01	60.364000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	2.000000	0.000000	0.000000	0.000000	7.763533	0.350436	0.007945	1	
211105 14:59:19.375	2.793	600.000000	600.000000	48.000000	8.000000	G01	59.852000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	7.578972	0.314710	0.007809	1	
211105 14:59:19.475	2.893	600.000000	600.000000	48.000000	8.000000	G01	59.852000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	7.773867	0.110769	0.008069	1	
211105 14:59:19.575	2.993	600.000000	600.000000	48.000000	8.000000	G01	59.852000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	7.655468	0.129079	0.007870	1	
211105 14:59:19.675	3.093	600.000000	600.000000	48.000000	8.000000	G01	59.391000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	7.715585	0.138484	0.007960	1	
211105 14:59:19.775	3.193	600.000000	600.000000	48.000000	8.000000	G01	59.391000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	7.731533	0.176485	0.008348	1	
211105 14:59:19.875	3.293	600.000000	600.000000	48.000000	8.000000	G01	59.391000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	7.528595	0.107897	0.008313	1	
211105 14:59:19.975	3.393	601.000000	600.000000	48.000000	8.000000	G01	58.879000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	7.643377	0.098469	0.007898	1	
211105 14:59:20.075	3.493	601.000000	600.000000	48.000000	8.000000	G01	58.879000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	7.625293	0.096140	0.007945	1	
211105 14:59:20.175	3.593	601.000000	600.000000	48.000000	8.000000	G01	58.879000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	7.685118	0.086030	0.007868	1	
211105 14:59:20.275	3.693	600.000000	600.000000	48.000000	8.000000	G01	58.418000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	7.692235	0.103511	0.008081	1	
211105 14:59:20.375	3.793	600.000000	600.000000	48.000000	8.000000	G01	58.418000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	7.559156	0.112398	0.008217	1	
211105 14:59:20.475	3.893	600.000000	600.000000	48.000000	8.000000	G01	58.418000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	7.702508	0.236711	0.008072	1	
211105 14:59:20.575	3.993	601.000000	600.000000	48.000000	8.000000	G01	57.906000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	7.704683	0.747531	0.007837	1	
211105 14:59:20.675	4.093	601.000000	600.000000	48.000000	8.000000	G01	57.906000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	7.802518	1.229632	0.007894	1	
211105 14:59:20.775	4.193	601.000000	600.000000	48.000000	8.000000	G01	57.906000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	7.652699	1.607658	0.007921	1	
211105 14:59:20.875	4.293	600.000000	600.000000	48.000000	8.000000	G01	57.445000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	7.421024	1.465680	0.007961	1	
211105 14:59:20.975	4.393	600.000000	600.000000	48.000000	8.000000	G01	57.445000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	7.545304	0.943516	0.008005	1	
211105 14:59:21.075	4.493	600.000000	600.000000	48.000000	8.000000	G01	57.445000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	7.677719	0.298132	0.007552	1	
211105 14:59:21.175	4.593	601.000000	600.000000	48.000000	8.000000	G01	56.933000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	7.835832	0.376105	0.007609	1	
211105 14:59:21.275	4.693	601.000000	600.000000	48.000000	8.000000	G01	56.933000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	7.689049	0.762801	0.007844	1	
211105 14:59:21.375	4.793	601.000000	600.000000	48.000000	8.000000	G01	56.933000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	7.434861	0.945172	0.007797	1	
211105 14:59:21.475	4.893	600.000000	600.000000	48.000000	8.000000	G01	56.420000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	7.541133	0.975713	0.007878	1	
211105 14:59:21.575	4.993	600.000000	600.000000	48.000000	8.000000	G01	56.420000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	7.687506	0.590539	0.007651	1	
211105 14:59:21.675	5.093	600.000000	600.000000	48.000000	8.000000	G01	56.420000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	7.793737	0.567646	0.007769	1	
211105 14:59:21.775	5.193	600.000000	600.000000	48.000000	8.000000	G01	55.857000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	7.585824	0.563804	0.007737	1	
211105 14:59:21.875	5.293	600.000000	600.000000	48.000000	8.000000	G01	55.857000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	7.460576	0.509138	0.007720	1	
211105 14:59:21.975	5.393	600.000000	600.000000	48.000000	8.000000	G01	55.857000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	7.532250	0.445091	0.007498	1	
211105 14:59:22.075	5.493	600.000000	600.000000	48.000000	8.000000	G01	55.857000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	7.556867	0.268967	0.007491	1	
211105 14:59:22.175	5.593	600.000000	600.000000	48.000000	8.000000	G01	55.396000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	7.756550	0.286166	0.007562	1	
211105 14:59:22.275	5.693	600.000000	600.000000	48.000000	8.000000	G01	55.396000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	7.646146	0.266964	0.007682	1	
211105 14:59:22.375	5.793	600.000000	600.000000	48.000000	8.000000	G01	55.396000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	7.565295	0.211994	0.007875	1	
211105 14:59:22.475	5.893	600.000000	600.000000	48.000000	8.000000	G01	54.884000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	7.459597	0.100555	0.007766	1	
211105 14:59:22.575	5.993	600.000000	600.000000	48.000000	8.000000	G01	54.884000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	7.507107	0.155051	0.007886	1	
211105 14:59:22.675	6.093	600.000000	600.000000	48.000000	8.000000	G01	54.884000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	7.614974	0.078295	0.007694	1	
211105 14:59:22.775	6.193	600.000000	600.000000	48.000000	8.000000	G01	54.320000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	7.682886	0.102901	0.007608	1	
211105 14:59:22.875	6.293	600.000000	600.000000	48.000000	8.000000	G01	54.320000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	7.594039	0.090659	0.007754	1	
211105 14:59:22.975	6.393	600.000000	600.000000	48.000000	8.000000	G01	54.320000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	7.525460	0.089082	0.008040	1	
211105 14:59:23.075	6.493	600.000000	600.000000	48.000000	8.000000	G01	53.859000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	7.521528	0.088833	0.007612	1	
211105 14:59:23.175	6.593	600.000000	600.000000	48.000000	8.000000	G01	53.859000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	7.603546	0.278252	0.007434	1	
211105 14:59:23.275	6.693	600.000000	600.000000	48.000000	8.000000	G01	53.859000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	7.630623	0.758512	0.007402	1	
211105 14:59:23.375	6.793	600.000000	600.000000	48.000000	8.000000	G01	53.347000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	7.466563	1.416568	0.007829	1	
211105 14:59:23.475	6.893	600.000000	600.000000	48.000000	8.000000	G01	53.347000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	7.518294	1.336217	0.008116	1	
211105 14:59:23.575	6.993	600.000000	600.000000	48.000000	8.000000	G01	53.347000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	7.546680	0.874276	0.008226	1	
211105 14:59:23.675	7.093	601.000000	600.000000	48.000000	8.000000	G01	52.886000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	7.541004	0.248517	0.007958	1	
211105 14:59:23.775	7.193	601.000000	600.000000	48.000000	8.000000	G01	52.886000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	7.426021	0.281732	0.007675	1	
211105 14:59:23.875	7.293	601.000000	600.000000	48.000000	8.000000	G01	52.886000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	7.384261	0.242579	0.007937	1	
211105 14:59:23.975	7.393	600.000000	600.000000	48.000000	8.000000	G01	52.374000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	7.254154	0.472647	0.008283	1	
211105 14:59:24.075	7.493	600.000000	600.000000	48.000000	8.000000	G01	52.374000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	7.133883	0.424493	0.008149	1	
211105 14:59:24.175	7.593	600.000000	600.000000	48.000000	8.000000	G01	52.374000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	7.033090	0.411916	0.007627	1	
211105 14:59:24.275	7.693	600.000000	600.000000	48.000000	8.000000	G01	51.913000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	6.931323	0.511023	0.007661	1	
211105 14:59:24.375	7.793	600.000000	600.000000	48.000000	8.000000	G01	51.913000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	6.893919	0.571143	0.007712	1	
211105 14:59:24.475	7.893	600.000000	600.000000	48.000000	8.000000	G01	51.913000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	6.724919	0.530097	0.007722	1	
211105 14:59:24.575	7.993	600.000000	600.000000	48.000000	8.000000	G01	51.350000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	6.467481	0.513288	0.008016	1	
211105 14:59:24.675	8.093	600.000000	600.000000	48.000000	8.000000	G01	51.350000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	6.606717	0.470303	0.007581	1	
211105 14:59:24.775	8.193	600.000000	600.000000	48.000000	8.000000	G01	51.350000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	6.550579	0.337858	0.007360	1	
211105 14:59:24.875	8.293	600.000000	600.000000	48.000000	8.000000	G01	51.350000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	6.580065	0.175016	0.007161	1	
211105 14:59:24.975	8.393	600.000000	600.000000	48.000000	8.000000	G01	50.889000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	6.521953	0.198945	0.007467	1	
211105 14:59:25.075	8.493	600.000000	600.000000	48.000000	8.000000	G01	50.889000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	6.512211	0.390951	0.006893	1	
211105 14:59:25.175	8.593	600.000000	600.000000	48.000000	8.000000	G01	50.889000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	6.531422	0.272981	0.007070	1	
211105 14:59:25.275	8.693	601.000000	600.000000	48.000000	8.000000	G01	50.376000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	6.423375	0.131630	0.006979	1	
211105 14:59:25.375	8.793	601.000000	600.000000	48.000000	8.000000	G01	50.376000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	6.371969	0.196384	0.006873	1	
211105 14:59:25.475	8.893	601.000000	600.000000	48.000000	8.000000	G01	50.376000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	6.402652	0.169965	0.006812	1	
211105 14:59:25.575	8.993	601.000000	600.000000	48.000000	8.000000	G01	49.864000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	6.609227	0.443090	0.006805	1	
211105 14:59:25.675	9.093	601.000000	600.000000	48.000000	8.000000	G01	49.864000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	6.388950	0.750619	0.006993	1	
211105 14:59:25.775	9.193	601.000000	600.000000	48.000000	8.000000	G01	49.864000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	6.476168	1.051126	0.006715	1	
211105 14:59:25.875	9.293	600.000000	600.000000	48.000000	8.000000	G01	49.352000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	6.630033	0.975016	0.006664	1	
211105 14:59:25.975	9.393	600.000000	600.000000	48.000000	8.000000	G01	49.352000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	6.555172	0.428417	0.006259	1	
211105 14:59:26.075	9.493	600.000000	600.000000	48.000000	8.000000	G01	49.352000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	6.473865	0.230580	0.006816	1	
211105 14:59:26.175	9.593	600.000000	600.000000	48.000000	8.000000	G01	49.352000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	6.470386	0.470107	0.006590	1	
211105 14:59:26.275	9.693	601.000000	600.000000	48.000000	8.000000	G01	48.789000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	6.537076	0.560131	0.006656	1	
211105 14:59:26.375	9.793	601.000000	600.000000	48.000000	8.000000	G01	48.789000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	6.375508	0.784968	0.006687	1	
211105 14:59:26.475	9.893	601.000000	600.000000	48.000000	8.000000	G01	48.789000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	6.376151	0.727069	0.006871	1	
211105 14:59:26.575	9.993	600.000000	600.000000	48.000000	8.000000	G01	48.328000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	6.482421	0.711697	0.006815	1	
211105 14:59:26.675	10.093	600.000000	600.000000	48.000000	8.000000	G01	48.328000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	6.520214	0.619721	0.007046	1	
211105 14:59:26.775	10.193	600.000000	600.000000	48.000000	8.000000	G01	48.328000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	6.502432	0.520021	0.006715	1	
211105 14:59:26.875	10.293	601.000000	600.000000	48.000000	8.000000	G01	47.815000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	2.000000	0.000000	0.000000	0.000000	6.498206	0.484055	0.006573	1	
211105 14:59:26.975	10.393	601.000000	600.000000	48.000000	8.000000	G01	47.815000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	2.000000	0.000000	0.000000	0.000000	6.494248	0.372818	0.007248	1	
211105 14:59:27.075	10.493	601.000000	600.000000	48.000000	8.000000	G01	47.815000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	2.000000	0.000000	0.000000	0.000000	6.450892	0.105405	0.007246	1	
211105 14:59:27.175	10.593	601.000000	600.000000	48.000000	8.000000	G01	47.303000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	2.000000	0.000000	0.000000	0.000000	6.426769	0.140660	0.007268	1	
211105 14:59:27.275	10.693	601.000000	600.000000	48.000000	8.000000	G01	47.303000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	2.000000	0.000000	0.000000	0.000000	6.383177	0.160265	0.007080	1	
211105 14:59:27.375	10.793	601.000000	600.000000	48.000000	8.000000	G01	47.303000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	2.000000	0.000000	0.000000	0.000000	6.444727	0.226654	0.007297	1	
211105 14:59:27.475	10.893	601.000000	600.000000	48.000000	8.000000	G01	46.842000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	6.424876	0.234496	0.007206	1	
211105 14:59:27.575	10.993	601.000000	600.000000	48.000000	8.000000	G01	46.842000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	6.380724	0.133169	0.007305	1	
211105 14:59:27.675	11.093	601.000000	600.000000	48.000000	8.000000	G01	46.842000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	6.475102	0.122176	0.007540	1	
211105 14:59:27.775	11.193	600.000000	600.000000	48.000000	8.000000	G01	46.330000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	6.579374	0.075548	0.007661	1	
211105 14:59:27.875	11.293	600.000000	600.000000	48.000000	8.000000	G01	46.330000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	6.425079	0.087663	0.007535	1	
211105 14:59:27.975	11.393	600.000000	600.000000	48.000000	8.000000	G01	46.330000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	6.334193	0.076542	0.007525	1	
211105 14:59:28.075	11.493	600.000000	600.000000	48.000000	8.000000	G01	45.817000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	6.547441	0.077603	0.007828	1	
211105 14:59:28.175	11.593	600.000000	600.000000	48.000000	8.000000	G01	45.817000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	6.407946	0.103055	0.007211	1	
211105 14:59:28.275	11.693	600.000000	600.000000	48.000000	8.000000	G01	45.817000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	6.417549	0.335619	0.007403	1	
211105 14:59:28.375	11.793	600.000000	600.000000	48.000000	8.000000	G01	45.254000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	6.427890	1.030876	0.006947	1	
211105 14:59:28.475	11.893	600.000000	600.000000	48.000000	8.000000	G01	45.254000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	6.520109	1.466033	0.006999	1	
211105 14:59:28.575	11.993	600.000000	600.000000	48.000000	8.000000	G01	45.254000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	6.437138	1.462562	0.007465	1	
211105 14:59:28.675	12.093	600.000000	600.000000	48.000000	8.000000	G01	45.254000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	6.400901	1.128214	0.007565	1	
211105 14:59:28.775	12.193	601.000000	600.000000	48.000000	8.000000	G01	44.793000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	6.445000	0.688884	0.007940	1	
