time	ctime	crpm	ccrpm	cfr	ccfr	cmdl	cpx	cpy	cpz	cm	ct	csn	cbn	cls	clx	cly	clz	asprms	aaccrms	asoundrms	cut
211105 14:52:56.675	0.018	600.000000	600.000000	48.000000	8.000000	G01	64.565000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.771914	0.154151	0.007882	1	
211105 14:52:56.775	0.118	600.000000	600.000000	48.000000	8.000000	G01	64.565000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.815389	0.216678	0.007580	1	
211105 14:52:56.875	0.218	601.000000	600.000000	48.000000	8.000000	G01	64.052000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.694628	0.093411	0.007870	1	
211105 14:52:56.975	0.318	601.000000	600.000000	48.000000	8.000000	G01	64.052000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.794428	0.185065	0.007738	1	
211105 14:52:57.075	0.418	601.000000	600.000000	48.000000	8.000000	G01	64.052000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.730729	0.152197	0.007730	1	
211105 14:52:57.175	0.518	601.000000	600.000000	48.000000	8.000000	G01	64.052000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.897097	0.196910	0.007601	1	
211105 14:52:57.275	0.618	601.000000	600.000000	48.000000	8.000000	G01	63.489000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.900993	0.260426	0.007740	1	
211105 14:52:57.375	0.718	601.000000	600.000000	48.000000	8.000000	G01	63.489000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.692580	0.211831	0.007695	1	
211105 14:52:57.475	0.818	601.000000	600.000000	48.000000	8.000000	G01	63.489000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.753908	0.208990	0.007907	1	
211105 14:52:57.575	0.918	601.000000	600.000000	48.000000	8.000000	G01	63.028000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.828806	0.282677	0.007906	1	
211105 14:52:57.675	1.018	601.000000	600.000000	48.000000	8.000000	G01	63.028000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.880305	0.297189	0.007664	1	
211105 14:52:57.775	1.118	601.000000	600.000000	48.000000	8.000000	G01	63.028000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.724974	0.160040	0.007648	1	
