time	ctime	crpm	ccrpm	cfr	ccfr	cmdl	cpx	cpy	cpz	cm	ct	csn	cbn	cls	clx	cly	clz	asprms	aaccrms	asoundrms	cut
211105 14:42:49.275	0.092	600.000000	600.000000	48.000000	8.000000	G01	62.413000	0.000000	0.000000	8.000000	101.000000	3.000000	36.000000	1.000000	0.000000	0.000000	0.000000	8.134824	0.774622	0.008195	1	
211105 14:42:49.375	0.192	600.000000	600.000000	48.000000	8.000000	G01	62.413000	0.000000	0.000000	8.000000	101.000000	3.000000	36.000000	1.000000	0.000000	0.000000	0.000000	8.013151	0.407173	0.008212	1	
211105 14:42:49.475	0.292	601.000000	600.000000	48.000000	8.000000	G01	61.901000	0.000000	0.000000	8.000000	101.000000	3.000000	36.000000	1.000000	0.000000	0.000000	0.000000	7.924610	0.228698	0.008035	1	
211105 14:42:49.575	0.392	601.000000	600.000000	48.000000	8.000000	G01	61.901000	0.000000	0.000000	8.000000	101.000000	3.000000	36.000000	1.000000	0.000000	0.000000	0.000000	8.235801	0.191044	0.008154	1	
211105 14:42:49.675	0.492	601.000000	600.000000	48.000000	8.000000	G01	61.901000	0.000000	0.000000	8.000000	101.000000	3.000000	36.000000	1.000000	0.000000	0.000000	0.000000	8.290420	0.159786	0.008380	1	
211105 14:42:49.775	0.592	600.000000	600.000000	48.000000	8.000000	G01	61.440000	0.000000	0.000000	8.000000	101.000000	3.000000	36.000000	1.000000	0.000000	0.000000	0.000000	8.024418	0.159127	0.008296	1	
211105 14:42:49.875	0.692	600.000000	600.000000	48.000000	8.000000	G01	61.440000	0.000000	0.000000	8.000000	101.000000	3.000000	36.000000	1.000000	0.000000	0.000000	0.000000	8.042848	0.212279	0.008105	1	
211105 14:42:49.975	0.792	600.000000	600.000000	48.000000	8.000000	G01	61.440000	0.000000	0.000000	8.000000	101.000000	3.000000	36.000000	1.000000	0.000000	0.000000	0.000000	8.088389	0.327582	0.008295	1	
211105 14:42:50.075	0.892	601.000000	600.000000	48.000000	8.000000	G01	60.928000	0.000000	0.000000	8.000000	101.000000	3.000000	36.000000	1.000000	0.000000	0.000000	0.000000	8.217571	0.391957	0.008261	1	
211105 14:42:50.175	0.992	601.000000	600.000000	48.000000	8.000000	G01	60.928000	0.000000	0.000000	8.000000	101.000000	3.000000	36.000000	1.000000	0.000000	0.000000	0.000000	8.132543	0.311377	0.008186	1	
211105 14:42:50.275	1.092	601.000000	600.000000	48.000000	8.000000	G01	60.928000	0.000000	0.000000	8.000000	101.000000	3.000000	36.000000	1.000000	0.000000	0.000000	0.000000	7.964189	0.351532	0.008445	1	
211105 14:42:50.375	1.192	600.000000	600.000000	48.000000	8.000000	G01	60.416000	0.000000	0.000000	8.000000	101.000000	3.000000	36.000000	2.000000	0.000000	0.000000	0.000000	8.115645	0.336276	0.008242	1	
211105 14:42:50.475	1.292	600.000000	600.000000	48.000000	8.000000	G01	60.416000	0.000000	0.000000	8.000000	101.000000	3.000000	36.000000	2.000000	0.000000	0.000000	0.000000	8.205431	0.385877	0.008277	1	
211105 14:42:50.575	1.392	600.000000	600.000000	48.000000	8.000000	G01	60.416000	0.000000	0.000000	8.000000	101.000000	3.000000	36.000000	2.000000	0.000000	0.000000	0.000000	8.114473	0.357186	0.008284	1	
211105 14:42:50.675	1.492	600.000000	600.000000	48.000000	8.000000	G01	59.955000	0.000000	0.000000	8.000000	101.000000	3.000000	36.000000	3.000000	0.000000	0.000000	0.000000	7.950884	0.309355	0.008444	1	
211105 14:42:50.775	1.592	600.000000	600.000000	48.000000	8.000000	G01	59.955000	0.000000	0.000000	8.000000	101.000000	3.000000	36.000000	3.000000	0.000000	0.000000	0.000000	7.964209	0.239865	0.008311	1	
211105 14:42:50.875	1.692	600.000000	600.000000	48.000000	8.000000	G01	59.955000	0.000000	0.000000	8.000000	101.000000	3.000000	36.000000	3.000000	0.000000	0.000000	0.000000	8.244468	0.244175	0.008503	1	
211105 14:42:50.975	1.792	600.000000	600.000000	48.000000	8.000000	G01	59.442000	0.000000	0.000000	8.000000	101.000000	3.000000	36.000000	4.000000	0.000000	0.000000	0.000000	8.222877	0.411878	0.008304	1	
211105 14:42:51.075	1.892	600.000000	600.000000	48.000000	8.000000	G01	59.442000	0.000000	0.000000	8.000000	101.000000	3.000000	36.000000	4.000000	0.000000	0.000000	0.000000	7.964188	0.739069	0.008437	1	
211105 14:42:51.175	1.992	600.000000	600.000000	48.000000	8.000000	G01	59.442000	0.000000	0.000000	8.000000	101.000000	3.000000	36.000000	4.000000	0.000000	0.000000	0.000000	7.924321	0.487686	0.008435	1	
