time	ctime	crpm	ccrpm	cfr	ccfr	cmdl	cpx	cpy	cpz	cm	ct	csn	cbn	cls	clx	cly	clz	asprms	aaccrms	asoundrms	cut
211105 14:24:48.975	0.008	601.000000	600.000000	48.000000	8.000000	G01	64.565000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	6.855610	0.184787	0.008714	1	
211105 14:24:49.075	0.108	601.000000	600.000000	48.000000	8.000000	G01	64.565000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.265638	0.166056	0.008692	1	
211105 14:24:49.175	0.208	600.000000	600.000000	48.000000	8.000000	G01	64.001000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.476272	0.195360	0.008277	1	
211105 14:24:49.275	0.308	600.000000	600.000000	48.000000	8.000000	G01	64.001000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.537268	0.200017	0.007989	1	
211105 14:24:49.375	0.408	600.000000	600.000000	48.000000	8.000000	G01	64.001000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.504887	0.240573	0.007755	1	
211105 14:24:49.475	0.508	600.000000	600.000000	48.000000	8.000000	G01	63.540000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.459624	0.262831	0.007774	1	
211105 14:24:49.575	0.608	600.000000	600.000000	48.000000	8.000000	G01	63.540000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.454243	0.183138	0.007734	1	
211105 14:24:49.675	0.708	600.000000	600.000000	48.000000	8.000000	G01	63.540000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.607986	0.143746	0.007763	1	
211105 14:24:49.775	0.808	600.000000	600.000000	48.000000	8.000000	G01	63.079000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.644203	0.164386	0.007941	1	
211105 14:24:49.875	0.908	600.000000	600.000000	48.000000	8.000000	G01	63.079000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.538370	0.148148	0.007643	1	
211105 14:24:49.975	1.008	600.000000	600.000000	48.000000	8.000000	G01	63.079000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.491345	0.143821	0.007779	1	
211105 14:24:50.075	1.108	601.000000	600.000000	48.000000	8.000000	G01	62.516000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.405296	0.245116	0.007712	1	
211105 14:24:50.175	1.208	601.000000	600.000000	48.000000	8.000000	G01	62.516000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.508450	0.280343	0.007567	1	
211105 14:24:50.275	1.308	601.000000	600.000000	48.000000	8.000000	G01	62.516000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.683582	0.348567	0.008033	1	
211105 14:24:50.375	1.408	601.000000	600.000000	48.000000	8.000000	G01	62.516000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.583263	0.300212	0.007780	1	
211105 14:24:50.475	1.508	600.000000	600.000000	48.000000	8.000000	G01	62.055000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.423274	0.346232	0.007808	1	
211105 14:24:50.575	1.608	600.000000	600.000000	48.000000	8.000000	G01	62.055000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.323778	0.448514	0.007815	1	
211105 14:24:50.675	1.708	600.000000	600.000000	48.000000	8.000000	G01	62.055000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.394093	0.371137	0.007917	1	
211105 14:24:50.775	1.808	600.000000	600.000000	48.000000	8.000000	G01	61.594000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.651564	0.463714	0.008110	1	
211105 14:24:50.875	1.908	600.000000	600.000000	48.000000	8.000000	G01	61.594000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.603094	0.210157	0.008227	1	
211105 14:24:50.975	2.008	600.000000	600.000000	48.000000	8.000000	G01	61.594000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.492816	0.153492	0.007752	1	
211105 14:24:51.075	2.108	600.000000	600.000000	48.000000	8.000000	G01	61.081000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.348857	0.142935	0.007860	1	
211105 14:24:51.175	2.208	600.000000	600.000000	48.000000	8.000000	G01	61.081000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.426988	0.147158	0.007922	1	
211105 14:24:51.275	2.308	600.000000	600.000000	48.000000	8.000000	G01	61.081000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.626988	0.232644	0.007911	1	
211105 14:24:51.375	2.408	600.000000	600.000000	48.000000	8.000000	G01	60.620000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.562326	0.264928	0.007704	1	
211105 14:24:51.475	2.508	600.000000	600.000000	48.000000	8.000000	G01	60.620000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.587753	0.239506	0.007622	1	
211105 14:24:51.575	2.608	600.000000	600.000000	48.000000	8.000000	G01	60.620000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.279134	0.208100	0.007761	1	
211105 14:24:51.675	2.708	600.000000	600.000000	48.000000	8.000000	G01	60.108000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	2.000000	0.000000	0.000000	0.000000	7.270761	0.256871	0.007779	1	
211105 14:24:51.775	2.808	600.000000	600.000000	48.000000	8.000000	G01	60.108000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	2.000000	0.000000	0.000000	0.000000	7.533248	0.250634	0.007888	1	
211105 14:24:51.875	2.908	600.000000	600.000000	48.000000	8.000000	G01	60.108000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	2.000000	0.000000	0.000000	0.000000	7.600492	0.149042	0.007826	1	
211105 14:24:51.975	3.008	601.000000	600.000000	48.000000	8.000000	G01	59.596000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	7.622845	0.256560	0.007979	1	
211105 14:24:52.075	3.108	601.000000	600.000000	48.000000	8.000000	G01	59.596000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	7.308883	0.390055	0.008005	1	
