time	ctime	crpm	ccrpm	cfr	ccfr	cmdl	cpx	cpy	cpz	cm	ct	csn	cbn	cls	clx	cly	clz	asprms	aaccrms	asoundrms	cut
211105 14:36:48.775	0.059	600.000000	600.000000	48.000000	8.000000	G01	62.439000	0.000000	0.000000	8.000000	101.000000	3.000000	36.000000	1.000000	0.000000	0.000000	0.000000	8.149376	0.489210	0.008154	1	
211105 14:36:48.875	0.159	600.000000	600.000000	48.000000	8.000000	G01	62.439000	0.000000	0.000000	8.000000	101.000000	3.000000	36.000000	1.000000	0.000000	0.000000	0.000000	8.225228	0.210172	0.008243	1	
211105 14:36:48.975	0.259	600.000000	600.000000	48.000000	8.000000	G01	62.439000	0.000000	0.000000	8.000000	101.000000	3.000000	36.000000	1.000000	0.000000	0.000000	0.000000	8.244377	0.278089	0.007980	1	
211105 14:36:49.075	0.359	600.000000	600.000000	48.000000	8.000000	G01	61.978000	0.000000	0.000000	8.000000	101.000000	3.000000	36.000000	1.000000	0.000000	0.000000	0.000000	8.137644	0.220148	0.008340	1	
211105 14:36:49.175	0.459	600.000000	600.000000	48.000000	8.000000	G01	61.978000	0.000000	0.000000	8.000000	101.000000	3.000000	36.000000	1.000000	0.000000	0.000000	0.000000	8.026416	0.233665	0.008145	1	
211105 14:36:49.275	0.559	600.000000	600.000000	48.000000	8.000000	G01	61.978000	0.000000	0.000000	8.000000	101.000000	3.000000	36.000000	1.000000	0.000000	0.000000	0.000000	8.170678	0.158327	0.008419	1	
211105 14:36:49.375	0.659	600.000000	600.000000	48.000000	8.000000	G01	61.465000	0.000000	0.000000	8.000000	101.000000	3.000000	36.000000	1.000000	0.000000	0.000000	0.000000	8.356472	0.156219	0.008175	1	
211105 14:36:49.475	0.759	600.000000	600.000000	48.000000	8.000000	G01	61.465000	0.000000	0.000000	8.000000	101.000000	3.000000	36.000000	1.000000	0.000000	0.000000	0.000000	8.208266	0.184236	0.008224	1	
211105 14:36:49.575	0.859	600.000000	600.000000	48.000000	8.000000	G01	61.465000	0.000000	0.000000	8.000000	101.000000	3.000000	36.000000	1.000000	0.000000	0.000000	0.000000	8.118271	0.172613	0.008398	1	
211105 14:36:49.675	0.959	601.000000	600.000000	48.000000	8.000000	G01	61.004000	0.000000	0.000000	8.000000	101.000000	3.000000	36.000000	1.000000	0.000000	0.000000	0.000000	8.106438	0.151305	0.008376	1	
